CustomerID,Age,Gender,Location,PurchaseFrequency,AvgOrderValue,TimeSinceLastPurchase,Churn
1,29,F,"West Joshuaton, Michigan",3,70.56,144,1
2,27,F,"Lake Ashley, Rhode Island",7,100.18,309,0
3,27,F,"North Brianberg, Alabama",1,47.37,79,0
4,27,F,"Hicksborough, Tennessee",10,16.35,164,1
5,60,F,"West John, Illinois",18,185.08,222,1
6,69,F,"Tonyview, Nebraska",5,78.69,141,0
7,37,M,"New Tina, Hawaii",16,67.62,183,0
8,37,M,"Pattersonport, Tennessee",3,109.47,82,0
9,20,M,"Hallborough, New Jersey",10,79.69,301,1
10,42,F,"Lake Madisonmouth, Pennsylvania",12,118.58,283,1
11,23,F,"Hoffmanview, New York",6,24.46,163,1
12,20,F,"Kramerchester, Indiana",5,182.18,212,0
13,43,M,"New Gabriela, North Carolina",4,144.8,245,0
14,64,F,"New Andrewshire, Utah",16,58.08,78,1
15,54,F,"Bushview, Maryland",14,106.09,70,1
16,28,F,"South Adamchester, California",8,117.78,207,1
17,36,M,"Gonzalezborough, Kentucky",16,104.67,43,0
18,44,F,"Ashleyland, North Carolina",4,94.07,111,1
19,27,F,"Turnerville, Florida",17,40.75,115,1
20,66,F,"Bellport, Tennessee",14,188.67,244,1
21,57,F,"New Davidview, New York",18,90.02,111,0
22,69,F,"Jorgestad, Arkansas",2,162.68,17,0
23,50,M,"Diazton, Hawaii",3,171.52,254,0
24,52,F,"North Malik, Alaska",5,183.82,16,1
25,49,F,"Reyesland, Texas",18,71.31,338,1
26,60,F,"Martinezton, Minnesota",12,36.43,232,1
27,53,M,"Rogersburgh, Alabama",1,111.2,251,1
28,34,F,"South Sandra, Connecticut",1,167.72,131,0
29,54,M,"Emilymouth, North Dakota",8,124.78,332,1
30,47,F,"East Jamesmouth, Maryland",2,31.56,331,0
31,19,M,"Elizabethbury, Alabama",11,146.24,109,1
32,62,F,"Matthewburgh, Nevada",11,44.23,267,0
33,50,M,"Bernardland, Montana",4,47.31,24,1
34,42,M,"North Shelley, Florida",19,150.06,86,0
35,27,M,"Seanland, Alaska",12,163.72,364,0
36,59,F,"New Tina, Texas",14,107.65,221,0
37,69,M,"South Jared, Maine",18,148.33,187,1
38,52,M,"East Rebecca, South Dakota",17,195.12,335,0
39,26,M,"Carmenhaven, Maine",6,91.33,106,0
40,36,M,"Gonzalesview, Wyoming",8,61.33,217,0
41,60,M,"Murilloshire, Ohio",5,121.01,74,0
42,32,F,"Lindamouth, Mississippi",8,151.24,29,0
43,45,F,"South Jeremytown, South Carolina",8,168.06,235,1
44,64,M,"Port Corey, Iowa",17,121.57,284,0
45,27,F,"East Jorgeville, Indiana",10,45.61,122,0
46,38,F,"East Sherri, Utah",19,134.1,130,0
47,45,F,"Mooreport, Hawaii",8,116.95,195,0
48,29,M,"Port Susan, Alaska",19,102.67,281,1
49,34,M,"East Samuel, Alabama",5,156.29,228,1
50,62,F,"Lawrencemouth, California",2,115.08,293,1
51,37,F,"Martinezfort, South Dakota",2,95.6,84,0
52,68,F,"Courtneyhaven, Utah",11,111.57,157,0
53,39,F,"Williamton, Pennsylvania",13,199.11,206,0
54,35,M,"Harrisland, Missouri",14,86.1,177,0
55,54,M,"Davidbury, North Dakota",12,177.97,62,0
56,52,M,"Joeburgh, Massachusetts",15,148.4,85,0
57,62,F,"Mitchellfort, New Hampshire",10,53.89,222,0
58,34,M,"South Alejandro, Hawaii",7,158.92,350,1
59,46,F,"West William, New Jersey",4,187.0,238,0
60,41,F,"Rileymouth, Ohio",9,40.07,100,1
61,38,F,"Vargaschester, New York",13,132.64,178,0
62,65,F,"South Sydneychester, Alabama",11,147.46,329,1
63,35,M,"South Kylestad, Wisconsin",4,23.44,108,1
64,37,F,"Natashafort, Kentucky",10,66.4,184,1
65,24,M,"Huffborough, Florida",12,69.26,36,0
66,33,M,"Scottport, Maine",15,189.42,188,1
67,63,F,"Fernandochester, Hawaii",17,129.2,111,0
68,48,M,"North Samanthabury, Minnesota",17,86.55,314,1
69,43,F,"North Heiditon, Colorado",3,58.77,318,1
70,64,F,"North Jason, Oklahoma",9,152.68,285,0
71,35,F,"Martinbury, South Carolina",15,146.14,345,1
72,50,F,"Port Travis, Indiana",15,160.48,167,1
73,43,F,"Sarahfurt, Vermont",2,34.86,294,1
74,67,M,"Lindafort, Michigan",11,76.18,64,0
75,35,M,"Peterchester, Idaho",10,187.32,25,1
76,24,F,"Reynoldsside, Massachusetts",3,161.22,281,1
77,57,M,"Moodybury, Washington",2,80.69,33,0
78,61,M,"West Gloriamouth, South Dakota",19,173.13,78,0
79,34,F,"Virginiaside, Iowa",6,167.84,205,0
80,45,F,"North Josephburgh, Nevada",2,39.84,157,0
81,21,M,"Foxton, New Hampshire",5,63.88,67,1
82,36,M,"Port Kimberly, North Carolina",11,199.11,109,0
83,69,F,"Lake Laura, Minnesota",4,174.32,59,1
84,20,M,"Orozcobury, Arkansas",1,90.13,88,1
85,34,M,"Benjaminburgh, Pennsylvania",15,40.38,5,1
86,41,F,"Hughestown, Minnesota",5,77.38,247,1
87,44,M,"Shaneton, New Hampshire",17,57.19,123,1
88,43,F,"East Markport, Kentucky",18,120.39,111,0
89,28,M,"Port Victor, Mississippi",17,23.3,331,1
90,62,M,"Hoville, Maryland",18,10.94,8,0
91,62,F,"Watsonmouth, Nebraska",4,153.74,318,1
92,24,M,"West Kellystad, Georgia",2,164.24,1,0
