EmployeeID,Age,Gender,Department,Tenure,PerformanceScore,JobSatisfaction,EngagementScore,TrainingHours,PromotionLastYear,Turnover
1,43,M,Finance,2,1.4,3.0,1.4,37,Yes,1
2,27,M,IT,2,2.6,1.3,1.9,79,Yes,0
3,18,M,Sales,8,2.0,3.9,3.9,0,Yes,0
4,37,F,IT,4,3.8,2.5,4.0,23,Yes,0
5,28,M,Sales,9,1.8,1.5,1.7,81,No,1
6,27,F,Sales,5,1.7,1.5,2.3,37,Yes,1
7,57,F,Sales,1,2.3,1.3,4.5,40,Yes,1
8,40,M,HR,8,4.6,1.4,2.7,61,No,1
9,50,F,Finance,7,3.3,4.1,2.7,68,No,0
10,40,M,HR,5,2.3,2.9,3.8,49,No,1
11,27,M,Marketing,5,1.7,1.8,3.2,36,No,0
12,49,M,HR,3,4.4,3.6,1.6,53,Yes,0
13,51,F,Sales,1,2.4,1.5,2.6,25,Yes,1
14,30,M,Sales,7,4.2,1.4,4.6,53,No,1
15,59,F,IT,5,4.1,4.7,1.5,58,Yes,1
16,39,F,Sales,5,2.8,2.1,1.6,0,No,0
17,45,F,Sales,2,2.7,2.5,4.2,35,No,0
18,32,M,HR,9,4.5,1.1,4.9,6,Yes,0
19,31,F,Marketing,5,3.0,4.3,2.0,65,No,0
20,39,M,Sales,8,2.5,2.6,1.6,47,No,1
21,62,M,HR,1,4.2,2.0,1.6,3,Yes,0
22,27,F,HR,7,1.1,4.8,1.9,21,Yes,1
23,39,M,IT,5,2.2,3.9,2.4,83,No,1
24,43,M,Finance,6,1.4,4.3,4.8,83,Yes,1
25,44,M,Sales,1,1.8,2.8,2.1,87,Yes,0
26,60,M,HR,3,1.1,4.9,3.5,78,Yes,0
27,60,F,Finance,6,4.6,1.7,1.2,93,No,0
28,52,F,IT,3,2.9,1.6,2.9,61,No,1
29,55,F,HR,4,3.5,2.5,1.3,77,No,1
30,48,M,Sales,3,1.3,3.6,2.3,6,No,1
31,24,F,Sales,6,3.7,1.7,4.7,17,No,0
32,37,M,Sales,2,2.3,3.8,2.7,78,No,1
33,59,M,Finance,7,3.6,1.7,3.7,81,No,0
34,41,F,Sales,7,4.6,2.0,2.5,91,Yes,0
35,31,F,HR,7,2.7,4.8,4.5,84,Yes,1
36,45,F,Finance,6,3.7,3.4,2.2,93,No,1
37,60,M,HR,6,1.0,3.4,1.6,77,Yes,0
38,52,M,IT,9,1.5,2.2,2.0,83,No,1
39,61,M,Sales,4,4.9,4.7,1.1,56,Yes,0
40,53,M,Sales,9,1.3,1.0,2.8,70,Yes,1
41,43,M,Sales,4,4.8,3.9,3.9,90,Yes,1
42,55,F,HR,8,4.4,2.8,3.5,12,Yes,1
43,58,M,Marketing,7,2.6,4.3,3.1,82,No,1
44,57,F,Marketing,3,4.9,1.3,3.8,45,No,1
45,55,F,Sales,3,4.4,1.3,1.1,35,Yes,1
46,27,F,HR,8,3.9,1.9,3.5,46,Yes,0
47,19,F,Finance,9,3.3,1.5,3.2,20,Yes,1
48,38,F,Sales,1,4.3,1.5,3.5,43,Yes,0
49,35,M,IT,8,3.5,1.8,3.7,53,No,1
50,55,F,Sales,4,5.0,4.6,4.1,43,No,0
51,34,M,Sales,1,4.3,3.9,1.9,38,No,1
52,57,M,IT,5,4.9,1.2,3.2,47,No,1
53,43,F,Finance,6,4.0,2.7,1.6,40,Yes,0
54,45,F,IT,1,5.0,2.9,4.2,66,No,1
55,43,F,HR,9,4.5,3.5,2.2,96,Yes,1
56,29,M,Sales,4,4.2,4.8,4.7,46,No,1
57,45,F,IT,1,4.1,2.7,4.5,61,Yes,0
58,33,F,Marketing,9,1.3,3.6,4.3,43,Yes,0
59,41,F,Sales,8,2.0,3.8,1.3,16,Yes,0
60,38,M,IT,4,1.2,3.6,3.5,39,Yes,0
61,47,F,IT,3,1.4,3.9,4.4,78,Yes,1
62,62,M,Sales,9,4.7,1.1,1.4,10,Yes,0
63,63,M,Sales,1,1.7,3.1,3.9,96,Yes,1
64,34,F,Sales,9,3.5,2.1,3.6,70,Yes,0
65,41,M,Finance,4,2.8,3.7,1.7,25,No,1
66,18,F,HR,7,2.4,1.9,2.9,33,Yes,1
67,37,F,Sales,4,2.2,1.3,4.5,45,Yes,1
68,44,M,IT,9,1.0,1.3,3.4,41,No,1
69,49,F,Marketing,5,3.2,2.0,2.3,38,Yes,1
70,23,M,Sales,2,1.7,4.0,1.5,62,No,0
71,19,M,IT,5,4.3,2.7,1.2,81,No,1
72,50,F,Sales,9,3.2,2.8,4.7,82,No,1
73,30,M,Finance,3,4.0,2.9,1.3,66,Yes,1
74,35,F,Marketing,3,3.8,4.8,4.6,9,No,1
75,64,F,HR,5,1.8,4.3,2.0,0,No,0
76,41,F,Sales,7,3.9,4.2,2.2,56,Yes,0
77,38,M,Sales,4,1.2,2.2,3.6,39,No,1
78,64,F,Finance,6,1.3,4.7,4.2,88,No,0
79,30,M,IT,9,2.8,1.9,4.7,96,Yes,1
80,18,M,Sales,3,1.4,2.3,1.2,68,Yes,1
81,58,M,Marketing,5,1.5,1.7,1.0,25,No,1
82,53,F,Finance,3,1.3,4.6,4.3,74,Yes,1
83,18,F,Finance,7,1.7,4.1,1.0,6,Yes,1
84,61,M,HR,6,2.0,4.7,4.5,90,No,1
85,59,M,HR,6,2.4,1.3,1.3,81,Yes,0
86,21,F,Finance,5,4.8,1.7,4.8,36,Yes,0
87,37,F,IT,5,3.9,3.5,2.4,66,No,1
88,48,F,IT,1,2.8,3.8,1.1,13,No,1
89,20,F,Sales,2,4.9,4.6,4.5,39,No,1
90,43,F,Marketing,3,2.9,3.8,2.1,78,Yes,0
91,24,M,Sales,6,3.1,1.4,2.2,83,Yes,1
92,26,F,HR,4,2.4,2.5,2.4,61,Yes,0
93,33,M,Marketing,9,3.1,1.4,1.0,84,Yes,1
94,22,F,HR,3,1.3,1.3,1.3,64,Yes,0
95,38,M,Marketing,9,4.6,5.0,3.1,12,No,1
96,58,F,Marketing,7,2.0,2.1,1.5,47,Yes,0
97,48,M,Finance,1,3.6,4.0,3.2,33,No,0
98,31,M,Finance,3,4.0,4.1,3.6,72,Yes,1
99,23,M,Marketing,8,1.7,2.4,1.9,29,Yes,0
100,64,F,Marketing,4,2.3,1.8,3.2,20,No,0
101,57,M,Marketing,2,3.0,4.7,3.1,1,No,1
102,50,M,IT,8,4.4,4.1,1.4,1,Yes,1
103,37,F,Finance,4,4.1,1.4,2.0,6,Yes,0
104,25,F,Finance,7,3.1,2.6,1.2,28,No,0
105,33,F,HR,6,3.0,3.5,3.9,84,No,1
106,25,F,Finance,2,4.6,1.4,4.3,9,Yes,1
107,62,M,Sales,2,3.1,2.2,3.9,87,No,0
108,31,F,HR,6,2.2,3.7,3.1,11,No,1
109,57,F,Sales,4,4.2,4.9,1.1,49,Yes,0
110,34,F,IT,2,2.6,2.5,3.6,47,Yes,0
111,37,F,Marketing,6,4.7,1.4,4.5,17,No,0
112,49,F,Sales,2,4.1,4.2,2.2,99,No,1
113,33,F,Sales,8,5.0,4.7,2.5,97,No,1
114,39,F,Finance,1,4.3,2.9,3.0,50,Yes,0
115,26,F,HR,1,4.0,4.8,1.7,59,No,0
116,34,F,IT,9,2.8,3.9,4.0,64,No,0
117,41,M,Marketing,6,3.8,3.8,4.4,55,No,0
118,31,F,Sales,7,4.0,3.3,3.3,66,No,0
119,23,F,Finance,7,3.1,1.5,4.0,76,Yes,1
120,25,F,Finance,5,1.4,5.0,2.0,22,Yes,1
121,33,F,Finance,2,2.1,4.2,3.6,56,Yes,0
122,20,M,Marketing,7,4.1,4.4,1.0,78,No,0
123,23,M,Marketing,4,1.2,2.4,1.4,5,No,0
124,35,F,Finance,5,2.9,2.1,1.1,44,Yes,0
125,21,F,IT,9,3.0,3.6,1.8,56,No,0
126,49,M,IT,6,4.4,3.0,2.1,62,Yes,1
127,41,M,Marketing,2,3.4,2.2,4.7,19,No,0
