Date,BookID,BookTitle,DailySales,Promotions,Season
2022-06-21,10570,Success rich eye.,21,False,Winter
2023-03-16,8416,Card traditional media total the.,31,True,Winter
2022-04-13,8976,Interview institution economy lot never.,28,True,Winter
2023-09-09,9905,Must summer happen key.,1,True,Winter
2022-06-01,1389,Itself education rate.,7,False,Winter
2021-01-13,10570,Success rich eye.,3,False,Winter
2024-03-16,8416,Card traditional media total the.,4,False,Winter
2023-08-06,8976,Interview institution economy lot never.,37,False,Winter
2023-03-11,9905,Must summer happen key.,18,False,Winter
2023-10-18,1389,Itself education rate.,8,False,Winter
2021-01-16,10570,Success rich eye.,35,False,Winter
2023-07-23,8416,Card traditional media total the.,34,False,Winter
2022-01-19,8976,Interview institution economy lot never.,43,False,Winter
2024-01-01,9905,Must summer happen key.,46,True,Winter
2020-04-06,1389,Itself education rate.,43,True,Winter
2020-08-11,10570,Success rich eye.,37,True,Winter
2022-02-11,8416,Card traditional media total the.,15,False,Winter
2020-03-20,8976,Interview institution economy lot never.,45,False,Winter
2022-07-04,9905,Must summer happen key.,5,True,Winter
2024-01-02,1389,Itself education rate.,21,True,Winter
2023-01-02,10570,Success rich eye.,23,False,Winter
2021-03-01,8416,Card traditional media total the.,4,True,Winter
2023-06-05,8976,Interview institution economy lot never.,41,True,Winter
2022-06-24,9905,Must summer happen key.,38,True,Winter
2022-09-07,1389,Itself education rate.,19,True,Winter
2021-07-18,10570,Success rich eye.,32,False,Winter
2024-04-03,8416,Card traditional media total the.,6,True,Winter
2020-04-22,8976,Interview institution economy lot never.,14,True,Winter
2023-03-17,9905,Must summer happen key.,34,False,Winter
2021-03-21,1389,Itself education rate.,7,True,Winter
2021-02-19,10570,Success rich eye.,3,False,Winter
2023-10-17,8416,Card traditional media total the.,19,True,Winter
2021-08-28,8976,Interview institution economy lot never.,29,False,Winter
2022-04-18,9905,Must summer happen key.,48,True,Winter
2023-10-12,1389,Itself education rate.,38,False,Winter
2024-03-27,10570,Success rich eye.,19,False,Winter
2021-04-11,8416,Card traditional media total the.,3,True,Winter
2023-08-05,8976,Interview institution economy lot never.,2,True,Winter
2024-01-15,9905,Must summer happen key.,8,False,Winter
2020-03-25,1389,Itself education rate.,41,False,Winter
2022-07-29,10570,Success rich eye.,31,False,Winter
2022-06-27,8416,Card traditional media total the.,10,True,Winter
2022-01-09,8976,Interview institution economy lot never.,35,False,Winter
2021-07-13,9905,Must summer happen key.,41,False,Winter
2024-02-28,1389,Itself education rate.,30,False,Winter
2024-03-14,10570,Success rich eye.,9,False,Winter
2021-11-12,8416,Card traditional media total the.,13,False,Winter
2022-05-30,8976,Interview institution economy lot never.,31,False,Winter
2022-11-16,9905,Must summer happen key.,15,True,Winter
2021-06-02,1389,Itself education rate.,25,False,Winter
2024-05-15,10570,Success rich eye.,10,False,Winter
2021-06-19,8416,Card traditional media total the.,17,False,Winter
2022-02-25,8976,Interview institution economy lot never.,20,False,Winter
2021-12-23,9905,Must summer happen key.,3,True,Winter
2021-06-24,1389,Itself education rate.,19,True,Winter
2020-11-10,10570,Success rich eye.,18,False,Winter
2020-12-30,8416,Card traditional media total the.,14,True,Winter
2020-04-12,8976,Interview institution economy lot never.,12,True,Winter
2023-08-02,9905,Must summer happen key.,37,False,Winter
2020-11-03,1389,Itself education rate.,44,False,Winter
2022-03-21,10570,Success rich eye.,28,False,Spring
2021-05-20,8416,Card traditional media total the.,17,True,Spring
2022-09-14,8976,Interview institution economy lot never.,32,False,Spring
2020-02-25,9905,Must summer happen key.,23,False,Spring
2022-07-01,1389,Itself education rate.,11,False,Spring
2023-08-14,10570,Success rich eye.,39,False,Spring
2022-11-02,8416,Card traditional media total the.,34,True,Spring
2022-11-04,8976,Interview institution economy lot never.,46,True,Spring
2022-03-13,9905,Must summer happen key.,47,False,Spring
2022-08-11,1389,Itself education rate.,34,True,Spring
2020-03-24,10570,Success rich eye.,49,False,Spring
2022-04-28,8416,Card traditional media total the.,19,True,Spring
2022-08-30,8976,Interview institution economy lot never.,11,True,Spring
2020-01-03,9905,Must summer happen key.,34,False,Spring
2021-09-15,1389,Itself education rate.,13,True,Spring
2023-12-28,10570,Success rich eye.,3,True,Spring
2024-01-18,8416,Card traditional media total the.,6,True,Spring
2024-02-16,8976,Interview institution economy lot never.,40,False,Spring
2023-03-20,9905,Must summer happen key.,7,False,Spring
2023-06-22,1389,Itself education rate.,26,True,Spring
2023-01-17,10570,Success rich eye.,5,True,Spring
2021-06-23,8416,Card traditional media total the.,43,False,Spring
2023-10-26,8976,Interview institution economy lot never.,22,False,Spring
2021-04-03,9905,Must summer happen key.,30,True,Spring
2022-04-15,1389,Itself education rate.,24,True,Spring
2022-07-17,10570,Success rich eye.,15,True,Spring
2020-05-14,8416,Card traditional media total the.,25,True,Spring
2021-10-23,8976,Interview institution economy lot never.,5,False,Spring
2022-10-18,9905,Must summer happen key.,32,True,Spring
2023-12-25,1389,Itself education rate.,33,False,Spring
2022-11-04,10570,Success rich eye.,24,False,Spring
2020-05-25,8416,Card traditional media total the.,1,True,Spring
2023-07-26,8976,Interview institution economy lot never.,19,False,Spring
2020-09-02,9905,Must summer happen key.,33,True,Spring
2023-09-24,1389,Itself education rate.,4,True,Spring
2023-04-18,10570,Success rich eye.,37,False,Spring
2022-12-19,8416,Card traditional media total the.,4,True,Spring
2023-03-06,8976,Interview institution economy lot never.,27,False,Spring
2024-03-27,9905,Must summer happen key.,22,False,Spring
2020-11-15,1389,Itself education rate.,11,True,Spring
2024-03-07,10570,Success rich eye.,10,False,Spring
2021-06-30,8416,Card traditional media total the.,33,True,Spring
2024-04-01,8976,Interview institution economy lot never.,41,True,Spring
2021-11-20,9905,Must summer happen key.,20,False,Spring
2024-02-13,1389,Itself education rate.,44,False,Spring
2020-12-12,10570,Success rich eye.,43,True,Spring
2022-06-29,8416,Card traditional media total the.,1,False,Spring
2021-03-28,8976,Interview institution economy lot never.,5,False,Spring
2020-02-06,9905,Must summer happen key.,7,False,Spring
2021-06-22,1389,Itself education rate.,21,False,Spring
2022-11-19,10570,Success rich eye.,47,True,Spring
2021-07-03,8416,Card traditional media total the.,5,True,Spring
2023-07-24,8976,Interview institution economy lot never.,13,True,Spring
2022-04-05,9905,Must summer happen key.,44,False,Spring
2022-04-18,1389,Itself education rate.,26,True,Spring
2022-01-24,10570,Success rich eye.,9,True,Spring
2023-11-24,8416,Card traditional media total the.,37,False,Spring
2022-01-10,8976,Interview institution economy lot never.,24,False,Spring
2022-04-02,9905,Must summer happen key.,46,False,Spring
2020-08-06,1389,Itself education rate.,46,False,Spring
2023-11-27,10570,Success rich eye.,3,True,Spring
2020-11-12,8416,Card traditional media total the.,27,False,Spring
2021-07-18,8976,Interview institution economy lot never.,5,False,Spring
2024-03-28,9905,Must summer happen key.,21,True,Spring
2024-01-21,1389,Itself education rate.,34,False,Spring
2022-08-10,10570,Success rich eye.,13,False,Spring
2023-06-13,8416,Card traditional media total the.,9,False,Spring
2024-03-24,8976,Interview institution economy lot never.,32,False,Spring
2020-02-05,9905,Must summer happen key.,17,True,Spring
2021-12-23,1389,Itself education rate.,17,False,Spring
2022-09-27,10570,Success rich eye.,30,True,Spring
2023-10-13,8416,Card traditional media total the.,49,True,Spring
2020-04-11,8976,Interview institution economy lot never.,25,False,Spring
2024-06-08,9905,Must summer happen key.,12,True,Spring
2022-03-12,1389,Itself education rate.,35,False,Spring
2022-01-01,10570,Success rich eye.,46,True,Spring
2021-10-19,8416,Card traditional media total the.,29,False,Spring
2022-06-05,8976,Interview institution economy lot never.,11,True,Spring
2023-01-01,9905,Must summer happen key.,24,True,Spring
2020-07-08,1389,Itself education rate.,10,False,Spring
2023-06-14,10570,Success rich eye.,46,False,Spring
2021-10-30,8416,Card traditional media total the.,24,False,Spring
2023-09-03,8976,Interview institution economy lot never.,2,False,Spring
2020-01-08,9905,Must summer happen key.,33,True,Spring
2023-06-22,1389,Itself education rate.,13,False,Spring
2022-09-17,10570,Success rich eye.,44,False,Spring
2022-10-14,8416,Card traditional media total the.,20,True,Spring
2020-06-26,8976,Interview institution economy lot never.,5,False,Spring
2020-10-15,9905,Must summer happen key.,11,False,Spring
2020-12-26,1389,Itself education rate.,2,False,Spring
2020-09-01,10570,Success rich eye.,42,True,Spring
2020-01-24,8416,Card traditional media total the.,38,False,Spring
